episode,episode-rewards,num-steps
915,297.342317062026,178
916,365.205491184102,188
917,243.56913670155,64
918,330.438848191711,133
919,319.158446821813,102
920,270.746372078745,54
921,246.783210346007,52
922,245.832863624798,46
923,319.461401604184,163
924,357.917700042946,190
925,325.047685325695,181
926,274.958607082669,98
927,227.924169807712,18
928,351.422862956643,160
929,281.611985921654,64
930,242.719586109669,51
931,291.481321581627,87
932,285.882659105887,79
933,229.453128978334,38
934,357.801360011856,199
935,255.48473541638,80
936,-130.044431374821,67
937,295.408698714625,88
938,331.925921321478,121
939,263.940959864164,58
940,359.999368313819,225
941,-104.08141649021,229
942,247.863321757088,56
943,285.762680847677,82
944,268.57657614155,68
945,-152.01088685881,70
946,245.913346156953,53
947,234.924775029041,50
948,-163.308676850669,51
949,342.774153485132,154
950,273.336842884795,118
951,368.359110048906,250
952,-156.893772032171,60
953,238.73481060265,44
954,281.801702081989,73
955,283.337995999354,213
956,281.052282637641,88
957,251.14189628615,64
958,240.789625212114,36
959,-114.672955698518,212
960,326.742067874702,144
961,240.2066156086,62
962,236.733544594171,62
963,276.51146104976,81
964,-138.369889708917,112
965,326.547570230065,162
966,262.619835953512,64
967,308.755486597536,126
968,312.892529626358,102
969,346.565310366753,187
970,-143.92018878796,65
971,-142.539411712699,96
972,268.20737510046,60
973,374.292260589157,239
974,262.496973614796,66
975,352.389371992128,175
976,323.257053459771,172
977,393.501089901101,308
978,327.861657079906,132
979,288.267090945244,69
980,311.688560177779,110
981,253.678525374752,82
982,341.415974651092,210
983,261.48921505481,79
984,300.414977754683,96
985,256.142549353329,82
986,241.688473824039,44
987,268.888562427889,58
988,286.158083217888,123
989,377.493369103499,197
990,-192.177313096366,55
991,258.047861999523,61
992,338.193334929878,200
993,-163.968183861692,78
994,265.165985420827,65
995,249.662202350076,41
996,32.3729618228816,61
997,266.174254015398,83
998,271.678401005615,72
999,316.822174236914,122
1000,285.658975710672,69
1001,235.164887877363,38
1002,318.220698191823,133
1003,259.428307518903,44
1004,-153.468979525569,132
1005,272.328259629845,69
1006,334.177090355397,149
1007,282.069595901318,108
1008,258.686362040111,53
1009,278.735616278182,116
1010,230.793670956849,67
1011,353.815900016474,139
1012,266.755492555126,63
1013,308.518921914418,82
1014,227.183367084479,39
1015,303.776402613373,70
1016,333.248050595975,140
1017,-147.802416071607,102
1018,247.047712288918,39
1019,293.229144438687,64
1020,297.412766055999,109
1021,273.877255544778,64
1022,-179.258653290046,39
1023,235.638210177056,41
1024,291.468962591855,73
1025,272.062949327146,87
1026,289.818212439778,83
1027,271.954952856871,62
1028,250.648503111564,41
1029,280.577912335305,102
1030,328.336136227022,124
1031,268.993339758908,53
1032,345.855768179413,140
1033,260.331673873625,70
1034,375.260712345472,253
1035,271.818741793656,95
1036,340.793923024805,132
1037,316.95986837804,114
1038,253.383795018255,86
1039,321.867129793056,219
1040,300.82393066494,88
1041,-113.691225134999,211
1042,261.33159563692,84
1043,225.805306023524,28
1044,309.540161773168,135
1045,260.780350895868,70
1046,225.904779240569,34
1047,310.774190317581,141
1048,257.414705732704,52
1049,258.693797215564,79
1050,-171.475044347106,77
1051,330.029035152766,151
1052,317.779344686492,98
1053,279.073851091978,85
1054,-174.492036184151,38
1055,233.832311623554,70
1056,315.559491019579,125
1057,241.07257691817,53
1058,-124.664491768999,115
1059,372.985424069454,156
1060,287.04773680026,104
1061,316.407467590962,146
1062,264.757487108764,56
1063,-185.373004730704,53
1064,231.179698640583,29
1065,227.555839920398,38
1066,-109.924951375413,136
1067,316.328159554544,130
1068,-178.283735886325,28
1069,252.239310867734,50
1070,247.203879229355,54
1071,366.916921610313,282
1072,331.023990466061,130
1073,324.295950726209,173
1074,259.147463396034,65
1075,301.380140349172,208
1076,286.680252136734,66
1077,231.395371730435,78
1078,309.71850020695,159
1079,288.681524661993,101
1080,325.701763849165,124
1081,266.806495540619,81
1082,256.540198270466,75
1083,268.233531267316,72
1084,245.447006941326,60
1085,225.414827897902,35
1086,-169.115287306232,81
1087,337.057965302695,142
1088,244.879875037337,56
1089,-169.054782156705,45
1090,256.581922455344,55
1091,348.056685345608,215
1092,300.396727514478,103
1093,236.87778158995,37
1094,277.533100935092,126
1095,261.140132885286,90
1096,353.370995001252,134
1097,304.08198451713,135
1098,231.341900816155,39
1099,307.775176258115,132
1100,254.067448931712,59
1101,284.267050135527,80
1102,242.578106524846,40
1103,32.5608213679894,28
1104,-179.273047655362,48
1105,348.294258427076,159
1106,-163.815547652028,83
1107,298.187911485684,86
1108,-167.378871019221,85
1109,250.196814132398,59
1110,227.798865962509,54
1111,249.293110390985,50
1112,322.234006848402,176
1113,316.66974070872,128
1114,326.780839807233,101
1115,346.190907610092,221
1116,285.422063172246,130
1117,243.443939404704,78
1118,308.023870413672,129
1119,-172.391234633911,65
1120,259.466749794426,62
1121,296.893261282748,120
1122,335.094787016348,124
1123,311.475140232682,107
1124,249.266515584104,57
1125,368.251057261379,398
1126,-171.968278988846,29
1127,294.851548908726,120
1128,251.183342921302,57
1129,247.667911820132,78
1130,345.923725146461,217
1131,325.537110179071,111
1132,282.068315798734,95
1133,283.489318568184,79
1134,268.628750882076,67
1135,264.726055340174,95
1136,271.252942054614,83
1137,316.272167011284,175
1138,-172.465302113143,61
1139,278.687912700101,70
1140,363.060888256653,145
1141,336.142740041655,141
1142,288.167806003428,165
1143,245.113220489178,50
1144,239.101075107953,29
1145,247.171791646476,48
1146,329.169674938252,180
1147,286.942928173125,94
1148,359.110275875677,185
1149,359.077082022155,259
1150,-185.274776932877,219
1151,295.556154806397,78
1152,369.402126442503,251
1153,229.44395270144,50
1154,-129.146110709889,93
1155,226.79048917796,22
1156,337.249252018962,124
1157,318.781659676429,133
1158,272.218288424388,60
1159,290.47811329462,110
1160,-190.826310825715,44
1161,336.595654824644,144
1162,254.44217609557,95
1163,274.011344053336,51
1164,360.783531359,187
1165,-156.317695410028,50
1166,275.960879484293,97
1167,348.930878576316,137
1168,399.508702520892,217
1169,236.136606557476,50
1170,339.93435836031,251
1171,-100.560226469596,146
1172,-174.500007718157,100
1173,290.259049733229,72
1174,299.932773301076,113
1175,306.926663743588,131
1176,409.418667055204,224
1177,338.688213610376,174
1178,230.598039119021,27
1179,297.20963126402,89
1180,276.264255426903,62
1181,276.115806063202,55
1182,271.495398775688,68
1183,343.55042055275,156
1184,281.324396417161,78
1185,325.330967650212,103
1186,233.852858761971,32
1187,297.345166708516,87
1188,350.956256043278,323
1189,273.531616138878,62
1190,-159.477894383941,92
1191,327.39752557183,153
1192,239.96640617146,33
1193,-1.35591909621371,4
1194,354.47726641995,120
1195,295.490983614975,103
1196,237.827168754907,31
1197,352.416097355375,177
1198,-177.092578485283,93
1199,296.481871800332,95
1200,242.03664397018,42
1201,259.26733576251,57
1202,-168.208644024295,32
1203,-107.06249459923,138
1204,256.231353742534,51
1205,247.027490825336,69
1206,326.692069473737,137
1207,274.858188760657,71
1208,-218.63324946662,24
1209,286.961991401834,83
1210,236.047690851567,32
1211,298.059128632514,89
1212,310.597292927493,122
