model,episode,timeframes,totalrewards,success
epochs_40,175,1000,4070.5,1
epochs_40,176,1000,4180.5,1
epochs_40,177,1000,4142.0,1
epochs_40,178,1000,4004.5,1
epochs_40,179,1000,4092.5,1
epochs_40,180,1000,4120.0,1
epochs_40,181,1000,4158.5,1
epochs_40,182,1000,4153.0,1
epochs_40,183,1000,4059.5,1
epochs_40,184,1000,4158.5,1
epochs_40,185,1000,4081.5,1
epochs_40,186,1000,4032.0,1
epochs_40,187,1000,4147.5,1
epochs_40,188,1000,4070.5,1
epochs_40,189,1000,4153.0,1
epochs_40,190,1000,4131.0,1
epochs_40,191,1000,4158.5,1
epochs_40,192,1000,4103.5,1
epochs_40,193,1000,4147.5,1
epochs_40,194,1000,4158.5,1
epochs_40,195,1000,4098.0,1
epochs_40,196,1000,4114.5,1
epochs_40,197,1000,4153.0,1
epochs_40,198,1000,4131.0,1
epochs_40,199,1000,4175.0,1
epochs_40,200,1000,4125.5,1
epochs_30,101,1000,3944.0,1
epochs_30,102,1000,3971.5,1
epochs_30,103,1000,4131.0,1
epochs_30,104,1000,4092.5,1
epochs_30,105,1000,4037.5,1
epochs_30,106,1000,3900.0,1
epochs_30,107,1000,3944.0,1
epochs_30,108,1000,4004.5,1
epochs_30,109,1000,4043.0,1
epochs_30,110,1000,4114.5,1
epochs_30,111,1000,3900.0,1
epochs_30,112,1000,4125.5,1
epochs_30,113,10,-182.5,0
epochs_30,114,1000,4131.0,1
epochs_30,115,1000,3883.5,1
epochs_30,116,1000,3894.5,1
epochs_30,117,1000,3922.0,1
epochs_30,118,1000,3971.5,1
epochs_30,119,1000,3790.0,1
epochs_30,120,1000,3949.5,1
epochs_30,121,1000,3872.5,1
epochs_30,122,1000,4021.0,1
epochs_30,123,1000,4120.0,1
epochs_30,124,525,1952.5,0
epochs_30,125,1000,4021.0,1
epochs_30,126,1000,4032.0,1
epochs_30,127,1000,4114.5,1
epochs_30,128,1000,4070.5,1
epochs_30,129,1000,4043.0,1
epochs_30,130,1000,3938.5,1
epochs_30,131,1000,4136.5,1
epochs_30,132,1000,4048.5,1
epochs_30,133,1000,3999.0,1
epochs_30,134,1000,4114.5,1
epochs_30,135,1000,3911.0,1
epochs_30,136,1000,4081.5,1
epochs_30,137,1000,4015.5,1
epochs_30,138,1000,4092.5,1
epochs_30,139,1000,3988.0,1
epochs_30,140,1000,4098.0,1
epochs_30,141,1000,3993.5,1
epochs_30,142,1000,4103.5,1
epochs_30,143,1000,4081.5,1
epochs_30,144,1000,3960.5,1
epochs_30,145,1000,3960.5,1
epochs_30,146,1000,3889.0,1
epochs_30,147,1000,4026.5,1
epochs_30,148,1000,4026.5,1
epochs_30,149,1000,4026.5,1
epochs_30,150,1000,3900.0,1
epochs_30,151,1000,3982.5,1
epochs_30,152,1000,3988.0,1
epochs_30,153,1000,3955.0,1
epochs_30,154,1000,4048.5,1
epochs_30,155,1000,4026.5,1
epochs_30,156,1000,3922.0,1
epochs_30,157,1000,4015.5,1
epochs_30,158,1000,3872.5,1
epochs_30,159,15,-163.0,0
epochs_30,160,1000,4120.0,1
epochs_30,161,1000,4010.0,1
epochs_30,162,1000,3905.5,1
epochs_30,163,1000,4054.0,1
epochs_30,164,1000,3878.0,1
epochs_30,165,1000,3971.5,1
epochs_30,166,1000,3949.5,1
epochs_30,167,1000,3894.5,1
epochs_30,168,1000,4098.0,1
epochs_30,169,1000,3949.5,1
epochs_30,170,13,-173.0,0
epochs_30,171,1000,4015.5,1
epochs_30,172,1000,3949.5,1
epochs_30,173,1000,4037.5,1
epochs_30,174,1000,3982.5,1
epochs_30,175,1000,3982.5,1
epochs_30,176,15,-157.5,0
epochs_30,177,1000,4092.5,1
epochs_30,178,1000,3916.5,1
epochs_30,179,1000,4048.5,1
epochs_30,180,1000,4026.5,1
epochs_30,181,18,-181.0,0
epochs_30,182,1000,4037.5,1
epochs_30,183,1000,4092.5,1
epochs_30,184,1000,4120.0,1
epochs_30,185,1000,3900.0,1
epochs_30,186,1000,4087.0,1
epochs_30,187,1000,3993.5,1
epochs_30,188,1000,4081.5,1
epochs_30,189,1000,4054.0,1
epochs_30,190,8,-165.0,0
epochs_30,191,1000,3960.5,1
epochs_30,192,338,1199.0,0
epochs_30,193,1000,3949.5,1
epochs_30,194,1000,3960.5,1
epochs_30,195,1000,4103.5,1
epochs_30,196,1000,3971.5,1
epochs_30,197,1000,3999.0,1
epochs_30,198,1000,3971.5,1
epochs_30,199,1000,3922.0,1
epochs_30,200,1000,4032.0,1
